-DOCSTART-
0	Rory Maher	http://en.wikipedia.org/wiki/Rory_Maher	54545933	nil
1	CapStone Investments	nil	nil	nil
-DOCSTART-
2	Gannett	http://en.wikipedia.org/wiki/Gannett_Company	418611	m.02630g
3	Clark-Johnson	http://en.wikipedia.org/wiki/Sue_Clark-Johnson	4635146	m.0cdrgw
-DOCSTART-
4	Protect Our Jobs	nil	nil	nil
5	Andrew Nickelhoff	nil	nil	nil
-DOCSTART-
6	Chicago White Sox	http://en.wikipedia.org/wiki/Chicago_White_Sox	5945	m.01slc
7	Kevin Youkilis	http://en.wikipedia.org/wiki/Kevin_Youkilis	879062	m.03l3rf
-DOCSTART-
8	Jessica Joyce	http://en.wikipedia.org/wiki/Jessica_Joyce	343554	m.01yf85
9	Bed Bath	http://en.wikipedia.org/wiki/Bed_Bath_%26_Beyond	517515	m.02kpnw
-DOCSTART-
10	Chinese Association for Protecting the Diaoyutais	http://en.wikipedia.org/wiki/Chinese_Association_for_Protecting_the_Diaoyutais	15293864	m.03hpbcg
11	Hsieh	nil	nil	nil
-DOCSTART-
12	Joe Ford	http://en.wikipedia.org/wiki/Joe_Ford	26941506	m.0bm9v9g
13	Justin	http://en.wikipedia.org/wiki/Justin_Ford	25478172	m.09rwxzw
-DOCSTART-
14	Bo Xilai	http://en.wikipedia.org/wiki/Bo_Xilai	528159	m.02lwg2
15	Communist Party	http://en.wikipedia.org/wiki/Communist_Party_of_China	7175	m.02189
-DOCSTART-
16	Schwebel Baking Co.	nil	nil	nil
17	Joseph Schwebel	nil	nil	nil
-DOCSTART-
18	Jackson County	http://en.wikipedia.org/wiki/Jackson_County_Volleyball	5981991	m.0fh_3c
19	Jaycee Caylor	nil	nil	nil
-DOCSTART-
20	Cory Curtis	http://en.wikipedia.org/wiki/Cory_Curtis	68375	m.0hwqg
21	Gregoire	http://en.wikipedia.org/wiki/Christine_Gregoire	893301	m.03mfmb
-DOCSTART-
22	Protect Our Jobs	nil	nil	nil
23	Andrew Nickelhoff	nil	nil	nil
-DOCSTART-
24	Apple	http://en.wikipedia.org/wiki/Apple_Inc.	856	m.0k8z
25	Tim Cook	http://en.wikipedia.org/wiki/Tim_Cook	46878774	nil
-DOCSTART-
26	Hearst Corp.	http://en.wikipedia.org/wiki/Hearst_Corporation	14325	m.03qbm
27	Frank Bennack Jr	nil	nil	nil
-DOCSTART-
28	ACLU	http://en.wikipedia.org/wiki/American_Civil_Liberties_Union	1950	m.0vkm
29	Sandra Park	nil	nil	nil
-DOCSTART-
30	Aurora	http://en.wikipedia.org/wiki/Aurora,_Colorado	108353	m.0r8hc
31	Denver	http://en.wikipedia.org/wiki/Denver	8522	m.02cl1
-DOCSTART-
32	Council	http://en.wikipedia.org/wiki/Council_on_American-Islamic_Relations-Michigan	159138	m.014_q8
33	Dawud Walid	http://en.wikipedia.org/wiki/Dawud_Walid	4077219	m.0bgxc7
-DOCSTART-
34	Hospital	http://en.wikipedia.org/wiki/National_Taiwan_University_Hospital	962703	m.03try6
35	Tan	nil	nil	nil
-DOCSTART-
36	Jim Donnan	http://en.wikipedia.org/wiki/Jim_Donnan	5848832	m.0f8xcm
37	Former Marshall University	http://en.wikipedia.org/wiki/Marshall_University	560365	m.02q253
-DOCSTART-
38	Gabor Vona	nil	nil	nil
39	Jobbik	http://en.wikipedia.org/wiki/Jobbik	4019500	m.0bcv24
-DOCSTART-
40	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	471981	m.02dlk9
41	Giang	nil	nil	nil
-DOCSTART-
42	Kentucky	http://en.wikipedia.org/wiki/Republican_Party_of_Kentucky	11345596	m.02r8fh0
43	Darrell Brock	http://en.wikipedia.org/wiki/Darrell_Brock_Jr.	3323421	m.095tkm
-DOCSTART-
44	Russia in Global Affairs	http://en.wikipedia.org/wiki/Russia_in_Global_Affairs	25391	m.06bnz
