-DOCSTART-
0	Welsh, Carson, Anderson and Stowe	nil	nil	nil
1	Source Telecomputing Corp	http://en.wikipedia.org/wiki/The_Source_(online_service)	572316	m.02rb1v
2	The Readers Digest Association Inc	http://en.wikipedia.org/wiki/The_Reader's_Digest_Association	465434	m.02ct7r
3	Readers Digest	http://en.wikipedia.org/wiki/The_Reader's_Digest_Association	465434	m.02ct7r
-DOCSTART-
4	Denmark	http://en.wikipedia.org/wiki/Denmark	76972	m.0k6nt
5	West-Germany	http://en.wikipedia.org/wiki/West_Germany	33166	m.082fr
6	Belgium	http://en.wikipedia.org/wiki/Belgium	3343	m.0154j
7	France	http://en.wikipedia.org/wiki/France	5843419	m.0f8l9c
8	EC Commission	http://en.wikipedia.org/wiki/European_Commission	9974	m.02q9k
9	Spain	http://en.wikipedia.org/wiki/Spain	26667	m.06mkj
-DOCSTART-
10	Robin Leigh Pemberton	http://en.wikipedia.org/wiki/Robin_Leigh-Pemberton,_Baron_Kingsdown	918235	m.03ptk3
11	Group of Seven	http://en.wikipedia.org/wiki/G7	1196634	m.02p3xvj
12	Giovanni Goria	http://en.wikipedia.org/wiki/Giovanni_Goria	1113608	m.047517
13	Group of Seven	http://en.wikipedia.org/wiki/G7	1196634	m.02p3xvj
14	Gerhard Stoltenberg	http://en.wikipedia.org/wiki/Gerhard_Stoltenberg	1124781	m.048cxv
15	U.S. Treasury	http://en.wikipedia.org/wiki/United_States_Department_of_the_Treasury	53667	m.0f1r9
16	Karl Otto Poehl	http://en.wikipedia.org/wiki/Karl_Otto_Pöhl	1494011	m.055rld
17	Italy	http://en.wikipedia.org/wiki/Italy	14532	m.03rjj
18	Bundesbank	http://en.wikipedia.org/wiki/Deutsche_Bundesbank	274294	m.01p3_f
19	Baker	http://en.wikipedia.org/wiki/James_Baker	213137	m.01f6t5
20	James Baker	http://en.wikipedia.org/wiki/James_Baker	213137	m.01f6t5
21	Paris	http://en.wikipedia.org/wiki/Paris	22989	m.05qtj
22	Kiichi Miyazawa	http://en.wikipedia.org/wiki/Kiichi_Miyazawa	200250	m.01cfp8
23	Group of Five	http://en.wikipedia.org/wiki/Group_of_Five	3146086	m.08vd91
24	Goria	http://en.wikipedia.org/wiki/Giovanni_Goria	1113608	m.047517
25	Satoshi Sumita	http://en.wikipedia.org/wiki/Satoshi_Sumita	32781295	m.0h3msh6
26	Jacques de Larosiere	http://en.wikipedia.org/wiki/Jacques_de_Larosière	508071	m.02jr8k
27	Treasury	http://en.wikipedia.org/wiki/United_States_Department_of_the_Treasury	53667	m.0f1r9
28	Edouard Balladur	http://en.wikipedia.org/wiki/Édouard_Balladur	434932	m.02841d
-DOCSTART-
29	IVB Financial Corp	http://en.wikipedia.org/wiki/IVB_Financial_Corp	5001669	m.0cz9hb
30	Fidelcor Inc	nil	nil	nil
31	Industrial Valley	http://en.wikipedia.org/wiki/Industrial_Valley_Title_Insurance_Co	314333	m.01tmng
32	Industrial Valley Title Insurance Co	http://en.wikipedia.org/wiki/Industrial_Valley_Title_Insurance_Co	314333	m.01tmng
-DOCSTART-
33	Highland Superstores Inc	http://en.wikipedia.org/wiki/Highland_Superstores_Inc	39218031	m.0swn60f
-DOCSTART-
34	Universal Medical Buildings L.P.	http://en.wikipedia.org/wiki/Universal_Medical_Buildings_L_P	4831315	m.0cq1d4
-DOCSTART-
35	Continental	http://en.wikipedia.org/wiki/Continental_Bank_of_Canada	912578	m.03p7yg
36	Continental	http://en.wikipedia.org/wiki/Continental_Bank_of_Canada	912578	m.03p7yg
37	Continental	http://en.wikipedia.org/wiki/Continental_Bank_of_Canada	912578	m.03p7yg
38	Lloyds Bank PLCs Lloyds Bank Canada	http://en.wikipedia.org/wiki/Lloyds_Bank_of_Canada	945061	m.03s5rh
39	Canadian government	http://en.wikipedia.org/wiki/Government_of_Canada	616255	m.02wz7x
40	Continental Bank of Canada	http://en.wikipedia.org/wiki/Continental_Bank_of_Canada	912578	m.03p7yg
-DOCSTART-
